object,time,zone,speed,risk
Human,Day,Z2,0.89,Medium
Animal,Day,Z3,1.69,Medium
Vehicle,Day,Z1,4.23,Low
Human,Night,Z1,2.95,Low
Animal,Night,Z1,0.8,Low
Animal,Day,Z2,2.7,Low
Vehicle,Night,Z2,3.99,Medium
Animal,Night,Z1,0.6,Low
Vehicle,Night,Z1,3.64,Low
Animal,Night,Z1,1.77,Low
Animal,Day,Z1,0.99,Low
Human,Day,Z3,3.17,Low
Human,Day,Z1,2.54,Low
Animal,Night,Z2,2.61,Low
Animal,Night,Z2,1.06,Low
Animal,Day,Z1,1.3,Low
Animal,Night,Z3,1.24,Medium
Human,Day,Z2,2.87,Medium
Animal,Day,Z3,3.13,Medium
Human,Day,Z2,1.3,Medium
Animal,Day,Z3,2.03,Medium
Vehicle,Day,Z1,7.89,Low
Animal,Day,Z1,2.64,Low
Vehicle,Day,Z1,6.38,Low
Vehicle,Day,Z3,4.5,High
Animal,Day,Z3,0.9,Medium
Human,Night,Z1,1.38,Low
Human,Night,Z1,2.02,Low
Human,Night,Z3,3.19,High
Human,Day,Z1,1.32,Low
Animal,Night,Z3,2.3,Medium
Human,Day,Z2,2.51,Medium
Human,Night,Z1,1.74,Low
Vehicle,Day,Z1,6.1,Low
Vehicle,Day,Z1,6.75,Low
Animal,Night,Z3,2.78,Medium
Animal,Night,Z3,1.38,Medium
Animal,Day,Z2,1.07,Low
Human,Night,Z1,1.56,Low
Human,Night,Z2,1.42,Medium
Vehicle,Night,Z1,4.09,Low
Animal,Day,Z3,3.34,Medium
Human,Day,Z2,3.3,Medium
Vehicle,Day,Z1,3.67,Low
Human,Day,Z1,1.53,Low
Human,Day,Z2,2.36,Medium
Vehicle,Night,Z1,7.24,Low
Human,Day,Z2,3.09,Medium
Animal,Day,Z3,2.58,Medium
Animal,Day,Z2,2.93,Low
Vehicle,Night,Z1,6.52,Low
Human,Day,Z2,1.29,Medium
Human,Day,Z1,2.29,Low
Human,Day,Z1,1.12,Low
Human,Night,Z1,2.3,Low
Animal,Day,Z3,2.24,Medium
Animal,Night,Z2,2.32,Low
Animal,Day,Z3,2.16,Medium
Vehicle,Day,Z2,4.35,Medium
Vehicle,Day,Z3,7.87,High
Vehicle,Day,Z1,7.21,Low
Animal,Day,Z1,1.55,Low
Vehicle,Night,Z3,7.93,High
Human,Night,Z1,2.28,Low
Animal,Day,Z1,3.79,Low
Human,Day,Z3,1.65,Low
Human,Day,Z2,0.64,Medium
Human,Night,Z2,1.98,Medium
Animal,Day,Z2,1.94,Low
Animal,Day,Z1,2.74,Low
Animal,Day,Z1,0.53,Low
Animal,Day,Z1,1.94,Low
Animal,Day,Z2,0.65,Low
Human,Night,Z2,2.93,Medium
Human,Night,Z3,2.92,High
Vehicle,Day,Z2,4.52,Medium
Human,Night,Z1,3.28,Low
Human,Day,Z1,1.18,Low
Vehicle,Day,Z3,4.96,High
Human,Night,Z3,3.45,High
Human,Night,Z1,0.57,Low
Human,Day,Z2,2.69,Medium
Vehicle,Night,Z3,3.58,High
Human,Day,Z1,0.88,Low
Animal,Night,Z2,3.38,Low
Human,Night,Z1,2.8,Low
Human,Night,Z1,3.37,Low
Vehicle,Night,Z1,4.21,Low
Human,Night,Z3,1.08,High
Human,Day,Z1,1.6,Low
Human,Night,Z1,0.55,Low
Human,Day,Z1,1.71,Low
Animal,Night,Z2,2.14,Low
Human,Night,Z3,0.54,High
Vehicle,Night,Z1,5.12,Low
Vehicle,Day,Z1,3.68,Low
Human,Day,Z1,0.85,Low
Human,Night,Z1,0.96,Low
Human,Day,Z3,2.09,Low
Human,Day,Z3,1.07,Low
Human,Day,Z1,2.07,Low
Human,Day,Z1,1.95,Low
Human,Day,Z2,0.95,Medium
Animal,Night,Z1,3.83,Low
Human,Day,Z3,2.12,Low
Vehicle,Day,Z1,2.78,Low
Vehicle,Night,Z1,7.63,Low
Animal,Day,Z1,2.55,Low
Vehicle,Day,Z2,3.3,Medium
Vehicle,Day,Z2,5.71,Medium
Vehicle,Night,Z1,2.48,Low
Vehicle,Night,Z2,7.05,Medium
Animal,Night,Z2,1.65,Low
Human,Day,Z2,2.95,Medium
Vehicle,Day,Z3,3.13,High
Human,Night,Z3,2.82,High
Animal,Day,Z1,1.03,Low
Animal,Night,Z2,1.11,Low
Animal,Night,Z3,2.56,Medium
Human,Day,Z1,1.36,Low
Vehicle,Day,Z3,7.51,High
Human,Day,Z2,1.34,Medium
Vehicle,Day,Z1,2.91,Low
Human,Night,Z1,0.91,Low
Vehicle,Day,Z1,6.21,Low
Vehicle,Night,Z2,6.65,Medium
Animal,Night,Z1,2.71,Low
Human,Day,Z1,1.21,Low
Vehicle,Day,Z2,6.81,Medium
Animal,Day,Z2,2.92,Low
Vehicle,Night,Z2,4.51,Medium
Vehicle,Night,Z1,7.15,Low
Human,Night,Z3,0.74,High
Human,Day,Z2,3.01,Medium
Human,Night,Z2,2.9,Medium
Animal,Day,Z3,2.48,Medium
Human,Day,Z1,2.26,Low
Human,Day,Z3,0.58,Low
Animal,Night,Z2,1.19,Low
Human,Night,Z1,1.43,Low
Human,Night,Z3,1.77,High
Human,Night,Z1,2.35,Low
Animal,Day,Z1,1.72,Low
Vehicle,Day,Z1,2.91,Low
Vehicle,Day,Z3,6.35,High
Vehicle,Night,Z1,3.88,Low
Human,Night,Z1,2.55,Low
Animal,Night,Z3,3.09,Medium
Human,Day,Z1,1.47,Low
Human,Day,Z1,2.18,Low
Animal,Day,Z2,1.66,Low
Human,Night,Z2,2.97,Medium
Animal,Night,Z1,3.76,Low
Vehicle,Day,Z3,4.17,High
Vehicle,Day,Z2,7.95,Medium
Human,Day,Z2,0.89,Medium
Human,Night,Z2,0.95,Medium
Animal,Night,Z1,2.78,Low
Animal,Day,Z1,1.48,Low
Human,Day,Z3,2.51,Low
Human,Day,Z1,0.53,Low
Vehicle,Day,Z2,2.09,Medium
Human,Day,Z3,3.22,Low
Vehicle,Day,Z3,2.84,High
Human,Night,Z1,3.44,Low
Human,Day,Z1,0.58,Low
Vehicle,Day,Z2,4.46,Medium
Human,Night,Z2,2.83,Medium
Human,Day,Z3,1.12,Low
Human,Night,Z1,3.02,Low
Animal,Night,Z2,0.89,Low
Vehicle,Night,Z3,2.93,High
Human,Day,Z1,2.49,Low
Vehicle,Night,Z3,4.05,High
Human,Day,Z1,2.89,Low
Vehicle,Night,Z1,2.6,Low
Animal,Day,Z1,1.52,Low
Human,Day,Z1,0.93,Low
Human,Day,Z1,1.54,Low
Animal,Night,Z1,2.4,Low
Animal,Day,Z3,2.06,Medium
Human,Day,Z2,1.08,Medium
Animal,Day,Z3,2.37,Medium
Human,Day,Z3,2.32,Low
Human,Night,Z1,2.38,Low
Animal,Day,Z1,3.16,Low
Human,Night,Z2,2.39,Medium
Human,Night,Z3,2.24,High
Animal,Day,Z2,1.51,Low
Animal,Day,Z2,1.51,Low
Vehicle,Night,Z3,4.51,High
Animal,Day,Z1,2.74,Low
Human,Day,Z2,2.84,Medium
Animal,Day,Z1,1.13,Low
Animal,Night,Z1,1.95,Low
Human,Night,Z2,2.05,Medium
Human,Night,Z2,1.68,Medium
Human,Day,Z1,2.89,Low
Human,Day,Z1,2.29,Low
Animal,Day,Z3,1.0,Medium
Vehicle,Night,Z1,6.31,Low
Vehicle,Day,Z3,2.86,High
Human,Night,Z2,2.01,Medium
Human,Night,Z2,3.2,Medium
Vehicle,Day,Z1,4.21,Low
Vehicle,Day,Z2,5.69,Medium
Human,Night,Z2,3.14,Medium
Vehicle,Day,Z1,3.61,Low
Animal,Day,Z1,1.17,Low
Human,Night,Z2,2.99,Medium
Human,Night,Z1,0.69,Low
Animal,Day,Z2,3.35,Low
Human,Night,Z1,2.44,Low
Human,Day,Z3,2.97,Low
Vehicle,Day,Z1,3.43,Low
Vehicle,Day,Z2,4.47,Medium
Human,Day,Z3,1.84,Low
Animal,Day,Z2,1.36,Low
Human,Day,Z3,2.15,Low
Human,Day,Z1,3.34,Low
Vehicle,Day,Z1,6.65,Low
Human,Night,Z1,1.77,Low
Human,Day,Z1,1.02,Low
Vehicle,Day,Z1,3.31,Low
Human,Night,Z3,0.8,High
Animal,Day,Z1,1.22,Low
Human,Day,Z2,1.74,Medium
Human,Day,Z1,1.64,Low
Vehicle,Night,Z2,3.09,Medium
Vehicle,Day,Z2,5.5,Medium
Human,Night,Z2,2.04,Medium
Vehicle,Night,Z3,6.3,High
Animal,Night,Z3,2.99,Medium
Human,Day,Z2,0.87,Medium
Animal,Night,Z2,3.91,Low
Human,Day,Z1,1.33,Low
Vehicle,Day,Z1,5.11,Low
Animal,Day,Z3,2.04,Medium
Vehicle,Day,Z1,7.86,Low
Human,Night,Z2,2.58,Medium
Human,Night,Z2,2.73,Medium
Vehicle,Night,Z1,4.43,Low
Animal,Night,Z2,2.7,Low
Vehicle,Day,Z1,4.13,Low
Human,Day,Z2,3.16,Medium
Animal,Night,Z2,1.22,Low
Vehicle,Day,Z1,5.92,Low
Animal,Day,Z2,1.96,Low
Human,Night,Z1,0.86,Low
Human,Day,Z2,2.21,Medium
Human,Night,Z2,1.78,Medium
Human,Day,Z1,2.65,Low
Human,Night,Z3,1.06,High
Human,Day,Z1,2.35,Low
Animal,Day,Z2,1.51,Low
Human,Day,Z2,2.81,Medium
Animal,Day,Z1,1.98,Low
Vehicle,Day,Z2,6.41,Medium
Human,Day,Z2,2.26,Medium
Animal,Night,Z2,3.66,Low
Vehicle,Night,Z1,2.94,Low
Animal,Day,Z2,2.08,Low
Human,Day,Z1,3.19,Low
Human,Day,Z1,1.27,Low
Animal,Day,Z3,0.93,Medium
Vehicle,Day,Z2,2.8,Medium
Human,Night,Z2,2.41,Medium
Human,Night,Z2,3.25,Medium
Human,Day,Z1,2.96,Low
Animal,Night,Z1,3.5,Low
Human,Night,Z1,2.8,Low
Human,Day,Z2,2.94,Medium
Human,Day,Z1,1.11,Low
Animal,Day,Z3,2.99,Medium
Vehicle,Day,Z1,2.24,Low
Human,Day,Z2,2.94,Medium
Animal,Day,Z1,2.05,Low
Animal,Day,Z1,0.92,Low
Human,Night,Z2,0.99,Medium
Human,Day,Z2,2.04,Medium
Human,Day,Z2,3.22,Medium
Human,Day,Z1,2.86,Low
Vehicle,Day,Z1,4.09,Low
Human,Day,Z2,3.24,Medium
Human,Day,Z1,2.48,Low
Vehicle,Day,Z2,5.35,Medium
Human,Night,Z1,3.37,Low
Human,Day,Z1,2.07,Low
Animal,Day,Z1,0.71,Low
Vehicle,Night,Z3,3.04,High
Vehicle,Day,Z3,5.8,High
Human,Night,Z1,2.68,Low
Vehicle,Day,Z1,2.41,Low
Human,Night,Z3,1.1,High
Human,Night,Z1,1.89,Low
Human,Night,Z1,2.04,Low
Human,Day,Z2,3.22,Medium
Animal,Day,Z2,0.78,Low
Vehicle,Day,Z1,7.99,Low
Animal,Night,Z1,2.17,Low
Human,Day,Z1,1.41,Low
Human,Day,Z1,3.03,Low
Animal,Day,Z1,1.89,Low
Animal,Day,Z1,1.16,Low
Animal,Night,Z2,2.25,Low
Human,Night,Z1,1.75,Low
Animal,Night,Z1,2.05,Low
Human,Night,Z3,0.87,High
Human,Day,Z1,2.73,Low
Human,Day,Z2,2.44,Medium
Human,Night,Z2,0.71,Medium
Human,Night,Z1,0.53,Low
Animal,Day,Z1,2.12,Low
Human,Day,Z2,2.9,Medium
Human,Night,Z1,2.42,Low
Animal,Night,Z3,2.74,Medium
Animal,Night,Z2,1.99,Low
Human,Day,Z2,2.43,Medium
Animal,Night,Z2,1.74,Low
Human,Day,Z1,0.77,Low
Vehicle,Day,Z1,3.21,Low
Vehicle,Night,Z3,6.8,High
Animal,Night,Z1,2.88,Low
Human,Day,Z2,2.29,Medium
Vehicle,Night,Z1,5.54,Low
Vehicle,Day,Z2,2.49,Medium
Human,Night,Z1,1.88,Low
Animal,Night,Z3,3.74,Medium
Animal,Day,Z1,2.24,Low
Human,Day,Z3,1.92,Low
Animal,Night,Z2,2.91,Low
Animal,Night,Z2,0.94,Low
Human,Day,Z2,0.56,Medium
Human,Night,Z1,1.0,Low
Animal,Day,Z3,3.28,Medium
Animal,Night,Z2,0.79,Low
Vehicle,Night,Z1,6.63,Low
Human,Night,Z3,0.82,High
Human,Day,Z1,1.09,Low
Animal,Day,Z2,1.24,Low
Human,Day,Z1,3.39,Low
Vehicle,Night,Z1,4.59,Low
Animal,Day,Z2,1.25,Low
Human,Night,Z1,0.92,Low
Human,Night,Z2,2.43,Medium
Human,Night,Z2,1.51,Medium
Animal,Day,Z2,3.29,Low
Vehicle,Day,Z1,3.4,Low
Animal,Day,Z1,1.62,Low
Human,Night,Z1,3.07,Low
Human,Night,Z2,1.56,Medium
Animal,Day,Z2,3.72,Low
Animal,Day,Z2,2.35,Low
Human,Night,Z2,1.81,Medium
Human,Night,Z2,3.32,Medium
Human,Night,Z1,0.96,Low
Vehicle,Night,Z3,4.23,High
Human,Night,Z1,0.78,Low
Animal,Day,Z1,0.58,Low
Animal,Day,Z1,1.12,Low
