object,time,zone,speed,risk
Animal,Day,Z2,2.92,Low
Human,Day,Z1,1.2,Low
Human,Day,Z2,2.29,Medium
Human,Night,Z1,0.86,Low
Animal,Day,Z1,2.41,Low
Animal,Night,Z2,2.78,Low
Human,Night,Z3,2.24,High
Human,Night,Z2,2.82,Medium
Vehicle,Day,Z1,3.87,Low
Human,Night,Z1,3.37,Low
Human,Night,Z1,0.74,Low
Animal,Night,Z1,3.4,Low
Animal,Day,Z1,1.52,Low
Vehicle,Day,Z1,4.14,Low
Human,Night,Z2,3.33,Medium
Human,Day,Z1,1.42,Low
Human,Day,Z2,2.16,Medium
Vehicle,Night,Z2,7.38,Medium
Animal,Day,Z3,1.34,Medium
Vehicle,Day,Z3,4.96,High
Animal,Day,Z1,2.0,Low
Vehicle,Day,Z1,3.68,Low
Human,Night,Z2,2.92,Medium
Animal,Day,Z2,2.81,Low
Vehicle,Night,Z1,6.29,Low
Human,Day,Z1,2.08,Low
Human,Night,Z3,1.84,High
Human,Night,Z1,3.01,Low
Animal,Night,Z3,1.87,Medium
Human,Night,Z1,2.02,Low
Human,Night,Z1,1.22,Low
Animal,Day,Z2,3.72,Low
Animal,Day,Z2,0.56,Low
Animal,Day,Z1,1.05,Low
Animal,Night,Z2,3.14,Low
Animal,Day,Z3,2.58,Medium
Animal,Night,Z1,0.8,Low
Animal,Night,Z2,2.85,Low
Animal,Night,Z1,0.6,Low
Animal,Day,Z2,0.86,Low
Human,Day,Z2,1.42,Medium
Vehicle,Day,Z1,5.12,Low
Human,Night,Z3,1.06,High
Animal,Day,Z2,1.64,Low
Human,Day,Z2,3.22,Medium
Animal,Night,Z2,1.65,Low
Human,Day,Z1,2.28,Low
Human,Night,Z1,1.38,Low
Human,Day,Z2,1.29,Medium
Human,Day,Z2,1.08,Medium
Human,Night,Z2,1.51,Medium
Vehicle,Night,Z1,3.26,Low
Vehicle,Day,Z1,7.52,Low
Human,Day,Z1,1.52,Low
Vehicle,Night,Z3,7.24,High
Animal,Day,Z2,0.78,Low
Human,Day,Z2,2.73,Medium
Vehicle,Day,Z1,6.1,Low
Animal,Day,Z3,0.99,Medium
Human,Day,Z2,2.81,Medium
Animal,Day,Z3,3.28,Medium
Animal,Day,Z1,0.53,Low
Human,Day,Z1,2.65,Low
Human,Night,Z1,3.02,Low
Vehicle,Night,Z1,2.6,Low
Vehicle,Day,Z1,4.72,Low
Vehicle,Day,Z2,3.12,Medium
Vehicle,Night,Z3,4.73,High
Human,Night,Z2,1.98,Medium
Animal,Day,Z1,2.12,Low
Human,Day,Z1,1.72,Low
Vehicle,Day,Z1,6.38,Low
Animal,Day,Z2,2.35,Low
Animal,Night,Z1,2.76,Low
Human,Night,Z1,0.77,Low
Animal,Night,Z3,0.77,Medium
Human,Night,Z3,2.54,High
Human,Night,Z2,2.0,Medium
Animal,Night,Z1,3.23,Low
Vehicle,Night,Z1,7.37,Low
Vehicle,Day,Z1,5.68,Low
Human,Night,Z2,1.36,Medium
Animal,Day,Z1,2.11,Low
Human,Day,Z1,2.38,Low
Human,Night,Z1,1.19,Low
Animal,Day,Z3,2.3,Medium
Human,Night,Z1,2.42,Low
Human,Day,Z2,2.53,Medium
Animal,Day,Z3,1.69,Medium
Human,Day,Z2,3.05,Medium
Vehicle,Day,Z2,5.71,Medium
Human,Night,Z2,1.56,Medium
Human,Day,Z1,3.48,Low
Animal,Night,Z1,1.95,Low
Animal,Day,Z2,2.7,Low
Vehicle,Night,Z1,2.7,Low
Human,Day,Z2,3.22,Medium
Animal,Night,Z2,1.11,Low
Animal,Night,Z3,0.71,Medium
Animal,Day,Z2,3.81,Low
Human,Night,Z1,2.07,Low
Human,Night,Z1,3.04,Low
Human,Day,Z2,3.01,Medium
Vehicle,Night,Z1,7.24,Low
Vehicle,Night,Z1,4.37,Low
Human,Day,Z1,2.65,Low
Vehicle,Day,Z2,2.03,Medium
Vehicle,Day,Z2,7.37,Medium
Human,Day,Z2,2.89,Medium
Animal,Day,Z3,2.24,Medium
Human,Day,Z2,1.56,Medium
Human,Day,Z1,1.14,Low
Vehicle,Night,Z1,4.59,Low
Human,Night,Z2,3.25,Medium
Vehicle,Day,Z2,2.59,Medium
Vehicle,Day,Z1,3.43,Low
Human,Day,Z3,1.77,Low
Human,Day,Z2,2.9,Medium
Human,Night,Z3,2.27,High
Animal,Night,Z2,3.89,Low
Vehicle,Day,Z2,3.3,Medium
Human,Day,Z3,2.32,Low
Human,Day,Z3,2.68,Low
Human,Day,Z3,2.51,Low
Human,Night,Z2,3.1,Medium
Animal,Day,Z1,2.44,Low
Vehicle,Night,Z3,6.93,High
Vehicle,Day,Z1,7.21,Low
Animal,Day,Z2,2.72,Low
Vehicle,Day,Z1,7.0,Low
Vehicle,Day,Z2,7.95,Medium
Vehicle,Night,Z3,6.53,High
Vehicle,Night,Z2,3.95,Medium
Human,Night,Z1,0.85,Low
Vehicle,Day,Z2,4.63,Medium
Animal,Night,Z2,2.46,Low
Animal,Day,Z3,1.0,Medium
Human,Night,Z2,2.41,Medium
Animal,Night,Z2,2.25,Low
Human,Night,Z1,2.68,Low
Human,Night,Z2,1.42,Medium
Vehicle,Night,Z3,5.83,High
Vehicle,Day,Z3,2.84,High
Vehicle,Night,Z3,5.38,High
Vehicle,Day,Z3,6.64,High
Animal,Night,Z2,3.91,Low
Human,Night,Z3,0.82,High
Human,Day,Z2,0.89,Medium
Vehicle,Day,Z3,7.87,High
Human,Day,Z2,1.07,Medium
Human,Day,Z1,1.47,Low
Human,Night,Z1,1.12,Low
Vehicle,Day,Z2,6.81,Medium
Animal,Day,Z1,3.27,Low
Human,Night,Z1,2.38,Low
Animal,Night,Z1,1.94,Low
Animal,Day,Z1,3.45,Low
Human,Day,Z1,2.3,Low
Animal,Night,Z3,1.42,Medium
Human,Night,Z1,0.57,Low
Animal,Day,Z3,3.95,Medium
Vehicle,Night,Z3,5.39,High
Vehicle,Day,Z2,7.69,Medium
Human,Day,Z1,2.09,Low
Vehicle,Day,Z2,4.83,Medium
Vehicle,Night,Z2,3.09,Medium
Human,Day,Z1,2.73,Low
Vehicle,Night,Z1,2.58,Low
Animal,Night,Z1,1.69,Low
Vehicle,Day,Z3,4.78,High
Vehicle,Night,Z1,6.63,Low
Human,Day,Z1,2.29,Low
Animal,Day,Z3,0.93,Medium
Human,Night,Z1,1.49,Low
Human,Night,Z2,2.01,Medium
Human,Night,Z2,1.56,Medium
Human,Day,Z2,3.47,Medium
Human,Day,Z2,1.74,Medium
Vehicle,Day,Z3,2.86,High
Human,Day,Z1,0.65,Low
Vehicle,Day,Z1,2.21,Low
Vehicle,Day,Z3,3.19,High
Animal,Day,Z2,0.81,Low
Human,Day,Z3,1.67,Low
Human,Day,Z1,2.31,Low
Human,Day,Z1,2.89,Low
Vehicle,Day,Z2,3.07,Medium
Animal,Day,Z2,1.08,Low
Human,Night,Z1,2.22,Low
Vehicle,Day,Z1,7.59,Low
Human,Day,Z1,1.43,Low
Vehicle,Night,Z3,5.54,High
Human,Day,Z1,0.77,Low
Vehicle,Night,Z2,2.54,Medium
Human,Night,Z1,3.07,Low
Human,Night,Z3,0.82,High
Human,Day,Z3,1.07,Low
Animal,Day,Z1,2.23,Low
Human,Day,Z1,2.75,Low
Animal,Day,Z3,1.91,Medium
Human,Night,Z3,1.24,High
Animal,Day,Z2,2.47,Low
Animal,Day,Z2,1.51,Low
Human,Night,Z2,1.81,Medium
Human,Day,Z3,1.53,Low
Animal,Night,Z2,3.38,Low
Human,Night,Z1,2.8,Low
Human,Night,Z1,1.15,Low
Human,Day,Z1,1.32,Low
Vehicle,Day,Z2,7.57,Medium
Human,Day,Z2,1.34,Medium
Animal,Day,Z1,1.44,Low
Human,Night,Z2,0.98,Medium
Human,Night,Z3,2.93,High
Human,Night,Z1,2.35,Low
Human,Day,Z2,0.84,Medium
Human,Day,Z2,3.16,Medium
Animal,Night,Z2,3.66,Low
Human,Night,Z1,1.77,Low
Animal,Day,Z3,3.33,Medium
Human,Day,Z1,2.51,Low
Animal,Day,Z3,1.1,Medium
Human,Day,Z2,2.23,Medium
Vehicle,Night,Z1,4.31,Low
Vehicle,Day,Z3,7.16,High
Animal,Day,Z2,0.9,Low
Vehicle,Night,Z3,5.24,High
Animal,Day,Z1,0.51,Low
Human,Day,Z3,1.9,Low
Vehicle,Day,Z1,3.21,Low
Human,Day,Z1,2.26,Low
Human,Day,Z2,3.24,Medium
Animal,Night,Z2,1.18,Low
Human,Day,Z1,1.64,Low
Animal,Day,Z2,3.35,Low
Vehicle,Day,Z1,2.41,Low
Human,Night,Z1,0.91,Low
Vehicle,Day,Z2,2.09,Medium
Vehicle,Day,Z1,4.09,Low
Human,Night,Z3,0.63,High
Human,Night,Z1,2.66,Low
Human,Day,Z2,0.64,Medium
Animal,Day,Z3,2.04,Medium
Human,Day,Z1,2.93,Low
Animal,Night,Z2,3.08,Low
Human,Night,Z1,2.44,Low
Vehicle,Night,Z1,4.43,Low
Animal,Night,Z3,2.23,Medium
Animal,Night,Z3,3.3,Medium
Animal,Day,Z1,3.38,Low
Animal,Day,Z2,2.62,Low
Human,Night,Z3,2.49,High
Human,Night,Z2,1.13,Medium
Animal,Night,Z1,3.14,Low
Human,Night,Z3,2.15,High
Human,Night,Z2,1.25,Medium
Human,Day,Z1,1.54,Low
Human,Night,Z1,0.92,Low
Vehicle,Night,Z2,5.13,Medium
Human,Day,Z3,1.35,Low
Animal,Day,Z1,0.71,Low
Human,Day,Z1,2.77,Low
Animal,Day,Z1,2.32,Low
Animal,Night,Z2,2.91,Low
Animal,Night,Z3,4.0,Medium
Human,Night,Z2,1.51,Medium
Human,Night,Z2,1.79,Medium
Animal,Night,Z2,1.55,Low
Human,Day,Z2,2.75,Medium
Human,Night,Z2,2.62,Medium
Human,Day,Z2,2.53,Medium
Vehicle,Day,Z3,4.17,High
Human,Day,Z1,3.41,Low
Human,Night,Z2,2.99,Medium
Animal,Night,Z2,2.33,Low
Human,Day,Z1,1.44,Low
Human,Day,Z3,1.93,Low
Human,Day,Z2,3.31,Medium
Human,Day,Z3,0.69,Low
Animal,Day,Z1,1.08,Low
Human,Day,Z2,1.23,Medium
Animal,Day,Z3,2.4,Medium
Vehicle,Night,Z1,6.31,Low
Human,Night,Z1,2.37,Low
Human,Night,Z2,3.43,Medium
Animal,Day,Z2,0.65,Low
Vehicle,Night,Z3,3.58,High
Animal,Day,Z3,2.99,Medium
Vehicle,Night,Z2,3.4,Medium
Vehicle,Night,Z1,5.96,Low
Human,Night,Z1,2.28,Low
Animal,Day,Z1,1.13,Low
Vehicle,Day,Z2,4.15,Medium
Animal,Day,Z1,1.35,Low
Human,Day,Z2,1.66,Medium
Human,Night,Z2,0.54,Medium
Human,Night,Z1,2.72,Low
Human,Night,Z3,2.41,High
Vehicle,Day,Z1,7.99,Low
Vehicle,Night,Z2,2.12,Medium
Animal,Day,Z1,0.66,Low
Human,Day,Z1,3.2,Low
Animal,Night,Z3,1.32,Medium
Human,Night,Z2,1.26,Medium
Human,Day,Z3,0.91,Low
Vehicle,Night,Z1,4.21,Low
Vehicle,Night,Z3,6.57,High
Human,Day,Z3,2.64,Low
Animal,Day,Z1,2.7,Low
Human,Day,Z2,2.69,Medium
Vehicle,Day,Z2,4.23,Medium
Human,Day,Z3,2.97,Low
Human,Night,Z2,2.76,Medium
Human,Day,Z1,0.73,Low
Human,Night,Z1,0.74,Low
Human,Night,Z1,2.42,Low
Vehicle,Day,Z2,2.78,Medium
Vehicle,Night,Z2,6.65,Medium
Animal,Day,Z1,2.05,Low
Animal,Night,Z1,2.32,Low
Animal,Day,Z1,1.42,Low
Vehicle,Night,Z1,2.85,Low
Animal,Night,Z2,0.94,Low
Human,Night,Z2,2.25,Medium
Human,Day,Z2,2.01,Medium
Human,Night,Z2,2.97,Medium
Human,Night,Z3,0.84,High
Animal,Night,Z1,2.63,Low
Vehicle,Day,Z2,2.39,Medium
Vehicle,Night,Z1,2.66,Low
Human,Night,Z2,0.71,Medium
Vehicle,Night,Z1,3.64,Low
Vehicle,Night,Z3,4.51,High
Animal,Night,Z2,0.79,Low
Human,Day,Z2,1.74,Medium
Human,Day,Z1,1.27,Low
Human,Day,Z2,1.31,Medium
Animal,Day,Z1,0.58,Low
Human,Day,Z2,1.92,Medium
Human,Day,Z1,3.39,Low
Vehicle,Day,Z2,4.88,Medium
Animal,Night,Z3,1.64,Medium
Human,Night,Z3,2.24,High
Human,Day,Z3,3.21,Low
Human,Night,Z1,1.43,Low
Animal,Night,Z2,2.14,Low
Human,Day,Z2,1.0,Medium
Human,Night,Z1,0.53,Low
Vehicle,Night,Z1,6.52,Low
Human,Night,Z1,2.81,Low
Human,Night,Z1,1.0,Low
Human,Night,Z2,1.26,Medium
Animal,Night,Z1,2.47,Low
Vehicle,Night,Z1,7.15,Low
Vehicle,Day,Z2,7.69,Medium
Human,Day,Z1,2.95,Low
Vehicle,Night,Z2,6.16,Medium
Animal,Day,Z3,2.15,Medium
Human,Night,Z1,0.78,Low
Human,Night,Z1,0.69,Low
Human,Day,Z2,2.44,Medium
Vehicle,Day,Z1,6.18,Low
Human,Day,Z2,2.07,Medium
Human,Night,Z1,2.35,Low
Animal,Day,Z3,0.87,Medium
Human,Day,Z1,2.86,Low
Animal,Night,Z1,2.88,Low
Vehicle,Day,Z1,5.76,Low
Human,Night,Z1,0.57,Low
Vehicle,Day,Z1,5.92,Low
Human,Day,Z1,0.53,Low
Human,Day,Z1,1.53,Low
Animal,Day,Z3,1.64,Medium
Human,Night,Z1,2.04,Low
Animal,Night,Z1,2.4,Low
Animal,Night,Z3,3.45,Medium
Vehicle,Night,Z1,6.24,Low
Animal,Day,Z2,2.63,Low
Human,Night,Z2,0.77,Medium
Vehicle,Night,Z1,2.42,Low
Human,Day,Z2,2.95,Medium
Human,Night,Z1,1.05,Low
Animal,Night,Z3,0.87,Medium
Human,Day,Z1,2.54,Low
Animal,Night,Z3,1.38,Medium
Animal,Night,Z3,2.99,Medium
Human,Day,Z2,1.3,Medium
Human,Day,Z2,2.44,Medium
Vehicle,Day,Z1,6.75,Low
Animal,Day,Z1,1.72,Low
Vehicle,Day,Z1,7.0,Low
Vehicle,Day,Z1,2.57,Low
Vehicle,Day,Z2,7.73,Medium
Human,Night,Z2,2.91,Medium
Human,Night,Z3,3.33,High
Human,Day,Z2,0.87,Medium
Human,Day,Z1,2.48,Low
Vehicle,Day,Z1,7.35,Low
Animal,Night,Z3,2.78,Medium
Human,Day,Z3,3.39,Low
Human,Day,Z2,3.22,Medium
Vehicle,Day,Z1,6.21,Low
Animal,Day,Z3,1.91,Medium
Vehicle,Day,Z2,2.49,Medium
Animal,Night,Z3,2.03,Medium
Human,Day,Z1,1.09,Low
Human,Night,Z1,1.75,Low
Human,Day,Z2,1.73,Medium
Animal,Day,Z3,2.1,Medium
Human,Day,Z2,2.94,Medium
Vehicle,Night,Z1,2.73,Low
Human,Day,Z2,0.81,Medium
Human,Night,Z1,3.41,Low
